Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Label
0.706181,0.604714,0.528406,0.557752,0.315469,Computer Science and Engineering (including specializations) / Information Technology
0.792607,0.695462,0.416828,0.629703,0.435383,Computer Science and Engineering (including specializations) / Information Technology
0.759799,0.647153,0.432326,0.631095,0.375788,Computer Science and Engineering (including specializations) / Information Technology
0.739799,0.676286,0.579711,0.645614,0.423969,Computer Science and Engineering (including specializations) / Information Technology
0.673403,0.736135,0.521286,0.658914,0.348007,Computer Science and Engineering (including specializations) / Information Technology
0.673399,0.637394,0.401839,0.696378,0.434328,Computer Science and Engineering (including specializations) / Information Technology
0.658713,0.661557,0.420294,0.627445,0.35838,Computer Science and Engineering (including specializations) / Information Technology
0.779926,0.713333,0.5327,0.598443,0.301626,Computer Science and Engineering (including specializations) / Information Technology
0.740167,0.63432,0.401012,0.669278,0.435807,Computer Science and Engineering (including specializations) / Information Technology
0.756211,0.611547,0.432162,0.590625,0.313693,Computer Science and Engineering (including specializations) / Information Technology
0.653088,0.643463,0.509747,0.615846,0.347897,Computer Science and Engineering (including specializations) / Information Technology
0.795486,0.624183,0.538379,0.561768,0.442509,Computer Science and Engineering (including specializations) / Information Technology
0.774866,0.739455,0.530392,0.553803,0.442591,Computer Science and Engineering (including specializations) / Information Technology
0.681851,0.721218,0.444854,0.694397,0.386016,Computer Science and Engineering (including specializations) / Information Technology
0.677274,0.695011,0.542436,0.675397,0.394776,Computer Science and Engineering (including specializations) / Information Technology
0.677511,0.730719,0.44745,0.654396,0.367267,Computer Science and Engineering (including specializations) / Information Technology
0.695636,0.720551,0.46508,0.611343,0.343982,Computer Science and Engineering (including specializations) / Information Technology
0.728713,0.627986,0.549298,0.575994,0.3493,Computer Science and Engineering (including specializations) / Information Technology
0.714792,0.733884,0.529927,0.573466,0.400878,Computer Science and Engineering (including specializations) / Information Technology
0.693684,0.680901,0.569845,0.587536,0.412856,Computer Science and Engineering (including specializations) / Information Technology
0.741778,0.721116,0.531523,0.632384,0.418737,Computer Science and Engineering (including specializations) / Information Technology
0.670924,0.734414,0.513662,0.657189,0.418443,Computer Science and Engineering (including specializations) / Information Technology
0.693822,0.647701,0.418735,0.64903,0.313681,Computer Science and Engineering (including specializations) / Information Technology
0.704954,0.616508,0.473543,0.59199,0.374163,Computer Science and Engineering (including specializations) / Information Technology
0.71841,0.63419,0.45304,0.69323,0.308634,Computer Science and Engineering (including specializations) / Information Technology
0.767776,0.664066,0.448798,0.660685,0.382429,Computer Science and Engineering (including specializations) / Information Technology
0.679951,0.722702,0.594602,0.633153,0.36623,Computer Science and Engineering (including specializations) / Information Technology
0.727135,0.72911,0.47862,0.641758,0.433156,Computer Science and Engineering (including specializations) / Information Technology
0.738862,0.601043,0.578409,0.61294,0.352637,Computer Science and Engineering (including specializations) / Information Technology
0.656968,0.676612,0.526228,0.58716,0.31756,Computer Science and Engineering (including specializations) / Information Technology
